year,partner_code,partner,exports,imports,trade_volume,balance,basis
2019,620,Portugal,373280,42050340,42423620,-41677060,direct
2019,620,Portugal,1533271,30349908,31883179,-28816637,mirror
2019,626,Timor-Leste,209137,0,209137,209137,mirror
2019,678,São Tomé e Príncipe,41082,0,41082,41082,mirror
2020,24,Angola,789521,0,789521,789521,mirror
2020,76,Brasil,51749,60179276,60231025,-60127527,direct
2020,76,Brasil,2881052,5338708,8219760,-2457656,mirror
2020,508,Moçambique,0,2666,2666,-2666,direct
2020,508,Moçambique,76438,0,76438,76438,mirror
2020,620,Portugal,50664,34261218,34311882,-34210554,direct
2020,620,Portugal,2652514,24994199,27646713,-22341685,mirror
2020,624,Guiné-Bissau,1289,0,1289,1289,direct
2020,626,Timor-Leste,0,219684,219684,-219684,direct
2020,626,Timor-Leste,890,230832,231722,-229942,mirror
2021,24,Angola,0,20746,20746,-20746,direct
2021,24,Angola,529110,97,529207,529013,mirror
2021,76,Brasil,125430,55690700,55816130,-55565270,direct
2021,76,Brasil,10166286,20464821,30631107,-10298535,mirror
2021,132,Cabo Verde,205,0,205,205,mirror
2021,508,Moçambique,479,15697,16176,-15218,direct
2021,508,Moçambique,246927,0,246927,246927,mirror
2021,620,Portugal,0,34753382,34753382,-34753382,direct
2021,620,Portugal,813863,23616375,24430238,-22802512,mirror
2021,624,Guiné-Bissau,0,33656,33656,-33656,direct
2021,626,Timor-Leste,8067,0,8067,8067,mirror
2022,24,Angola,0,945313,945313,-945313,direct
2022,24,Angola,360446,22668,383114,337778,mirror
2022,76,Brasil,25245,96424583,96449828,-96399338,direct
2022,76,Brasil,12428793,3918490,16347283,8510303,mirror
2022,508,Moçambique,0,270020,270020,-270020,direct
2022,508,Moçambique,115775,0,115775,115775,mirror
2022,620,Portugal,13014,34706647,34719661,-34693633,direct
2022,620,Portugal,605134,22136563,22741697,-21531429,mirror
2022,624,Guiné-Bissau,0,4430,4430,-4430,direct
2022,626,Timor-Leste,740,0,740,740,direct
2022,626,Timor-Leste,188388,0,188388,188388,mirror
2022,678,São Tomé e Príncipe,0,734,734,-734,direct
2023,24,Angola,0,388667,388667,-388667,direct
2023,24,Angola,2368409,195242,2563651,2173167,mirror
2023,76,Brasil,0,137302431,137302431,-137302431,direct
2023,76,Brasil,3154773,2811310,5966083,343463,mirror
